Date,Hour,Temp
2016-01-29,09,54.9
2016-01-29,10,59.1
2016-01-29,11,63.3
2016-01-29,12,67.6
2016-01-29,13,71.8
2016-01-29,14,76.0
2016-01-29,15,73.5
2016-01-29,16,70.9
2016-01-29,17,68.4
2016-01-29,18,65.9
2016-01-29,19,63.3
2016-01-29,20,60.8
2016-01-29,21,58.3
2016-01-29,22,55.7
2016-01-29,23,53.2
2016-01-30,00,56.3
2016-01-30,01,54.3
2016-01-30,02,52.2
2016-01-30,03,50.1
2016-01-30,04,48.1
2016-01-30,05,46.0
2016-01-30,06,49.4
2016-01-30,07,52.9
2016-01-30,08,56.3
2016-01-30,09,59.8
2016-01-30,10,63.2
2016-01-30,11,66.7
2016-01-30,12,70.1
2016-01-30,13,73.6
2016-01-30,14,77.0
2016-01-30,15,74.9
2016-01-30,16,72.9
2016-01-30,17,70.8
2016-01-30,18,68.7
2016-01-30,19,66.7
2016-01-30,20,64.6
2016-01-30,21,62.5
2016-01-30,22,60.5
2016-01-30,23,58.4
2016-01-31,00,67.3
2016-01-31,01,65.5
2016-01-31,02,63.6
2016-01-31,03,61.7
2016-01-31,04,59.9
2016-01-31,05,58.0
2016-01-31,06,61.1
2016-01-31,07,64.2
2016-01-31,08,67.3
2016-01-31,09,70.4
2016-01-31,10,73.6
2016-01-31,11,76.7
2016-01-31,12,79.8
2016-01-31,13,82.9
2016-01-31,14,86.0
2016-01-31,15,84.1
2016-01-31,16,82.3
2016-01-31,17,80.4
2016-01-31,18,78.5
2016-01-31,19,76.7
2016-01-31,20,74.8
2016-01-31,21,72.9
2016-01-31,22,71.1
2016-01-31,23,69.2
2016-02-01,00,61.7
2016-02-01,01,60.1
2016-02-01,02,58.6
2016-02-01,03,57.1
2016-02-01,04,55.5
2016-02-01,05,54.0
2016-02-01,06,56.6
2016-02-01,07,59.1
2016-02-01,08,61.7
2016-02-01,09,64.2
2016-02-01,10,66.8
2016-02-01,11,69.3
2016-02-01,12,71.9
2016-02-01,13,74.4
2016-02-01,14,77.0
2016-02-01,15,75.5
2016-02-01,16,73.9
2016-02-01,17,72.4
2016-02-01,18,70.9
2016-02-01,19,69.3
2016-02-01,20,67.8
2016-02-01,21,66.3
2016-02-01,22,64.7
2016-02-01,23,63.2
2016-02-02,00,58.0
2016-02-02,01,56.6
2016-02-02,02,55.2
2016-02-02,03,53.8
2016-02-02,04,52.4
2016-02-02,05,51.0
2016-02-02,06,53.3
2016-02-02,07,55.7
2016-02-02,08,58.0
2016-02-02,09,60.3
2016-02-02,10,62.7
2016-02-02,11,65.0
2016-02-02,12,67.3
2016-02-02,13,69.7
2016-02-02,14,72.0
2016-02-02,15,70.6
2016-02-02,16,69.2
2016-02-02,17,67.8
2016-02-02,18,66.4
2016-02-02,19,65.0
2016-02-02,20,63.6
2016-02-02,21,62.2
2016-02-02,22,60.8
2016-02-02,23,59.4
2016-02-03,00,45.3
2016-02-03,01,44.1
2016-02-03,02,42.8
2016-02-03,03,41.5
2016-02-03,04,40.3
2016-02-03,05,39.0
2016-02-03,06,41.1
2016-02-03,07,43.2
2016-02-03,08,45.3
2016-02-03,09,47.4
2016-02-03,10,49.6
2016-02-03,11,51.7
2016-02-03,12,53.8
